Group,Letteringroup,Selfrank,RankbyK,RankbyL,RankbyM,RankbyN
1,K,1,,,3,3
1,L,,4,,4,1
1,M,2,2,,,4
1,N,2,3,,1,
2,K,2,,2,3,
2,L,1,1,,1,
2,M,2,3,3,,
3,K,3,,3,3,
3,L,1,1,,1,
3,M,2,2,2,,
4,K,3,,3,3,
4,L,2,1,,1,
4,M,2,2,1,,
5,K,3,,3,3,
5,L,2,2,,2,
5,M,1,1,1,,
6,K,4,,4,,4
6,L,2,3,,,2
6,M,,2,3,,3
6,N,1,1,1,,
7,K,2,,1,3,2
7,L,2,1,,1,1
7,M,4,4,4,,4
7,N,3,3,3,2,
8,K,2,,3,2,
8,L,1,3,,1,
8,M,3,1,2,,
9,K,2,,4,4,4
9,L,2,3,,1,2
9,M,2,4,1,,1
9,N,3,1,3,3,
10,K,3,,3,1,4
10,L,2,2,,2,3
10,M,3,1,1,,2
10,N,1,4,4,4,
11,K,2,,3,3,3
11,L,1,3,,2,2
11,M,4,4,4,,4
11,N,1,1,2,1,
12,K,,,1,3,2
12,L,2,,,1,1
12,M,2,,4,,3
12,N,4,,3,4,
13,K,2,,2,1,
13,L,3,3,,3,
13,M,2,1,1,,
14,K,1,,2,3,3
14,L,4,4,,4,4
14,M,1,3,3,,2
14,N,1,2,1,2,
15,K,2,,3,3,
15,L,2,1,,1,
15,M,2,3,1,,
16,K,2,,3,2,
16,L,1,3,,4,
16,M,3,4,4,,
16,N,,1,2,1,
17,K,2,,3,2,
17,L,1,1,,3,
17,M,1,3,2,,
18,K,1,,2,1,1
18,L,3,4,,4,4
18,M,3,3,1,,3
18,N,2,2,4,2,
19,K,1,,2,4,4
19,L,1,3,,3,3
19,M,2,4,3,,1
19,N,2,2,4,1,
20,K,4,,3,3,3
20,L,1,1,,1,1
20,M,4,3,4,,4
20,N,2,2,2,2,
21,K,2,,3,3,2
21,L,2,3,,1,3
21,M,2,4,1,,1
21,N,4,1,2,4,
22,K,3,,1,2,
22,L,2,2,,3,
22,M,4,4,4,,
22,N,,1,3,1,
23,K,2,,2,3,
23,L,1,1,,1,
23,M,2,3,3,,
24,K,2,,3,3,3
24,L,2,3,,4,4
24,M,1,1,1,,1
24,N,2,4,4,2,
25,K,1,,1,3,3
25,L,3,4,,4,4
25,M,2,3,4,,1
25,N,2,2,2,1,2
26,K,2,,4,1,4
26,L,3,4,,3,2
26,M,2,1,1,,1
26,N,3,3,2,4,
27,K,2,,4,4,3
27,L,2,3,,1,1
27,M,2,4,3,,4
27,N,2,1,1,3,
28,K,2,,3,4,3
28,L,1,3,,1,4
28,M,2,1,4,,2
28,N,1,4,2,3,
29,K,,,4,3,1
29,L,2,,,4,3
29,M,2,,3,,4
29,N,2,,1,1,
30,K,1,,2,2,4
30,L,3,2,,4,3
30,M,3,4,4,,1
30,N,2,3,1,1,
31,K,3,,4,4,4
31,L,2,2,,2,1
31,M,1,1,1,,3
31,N,2,4,3,3,
32,K,3,,3,3,
32,L,2,1,,2,
32,M,1,2,1,,
33,K,1,,2,1,1
33,L,1,2,1,2,3
33,M,3,3,3,,4
33,N,2,4,4,4,
34,K,3,,2,3,3
34,L,4,4,,4,4
34,M,2,2,3,,2
34,N,1,1,1,1,
35,K,1,,2,2,
35,L,3,3,,3,
35,M,1,2,1,,
36,K,,,1,1,
36,L,2,,,3,
36,M,2,,3,,
37,K,2,,1,2,2
37,L,2,1,,1,1
37,M,4,3,3,,3
37,N,4,4,4,3,
38,K,3,,3,3,3
38,L,2,2,,2,2
38,M,1,1,1,,1
38,N,4,4,4,4,
39,K,2,,4,3,2
39,L,2,3,,1,3
39,M,2,1,1,,1
39,N,4,4,3,4,
40,K,1,,1,2,4
40,L,3,3,,1,1
40,M,3,2,2,,3
40,N,2,4,4,4,
