Group,Participant,percLead,percDom,percComp,percLiking
1,K,3.25,3,4,4.75
1,L,3.33,3.67,4.39,4.5
1,M,3.38,2.38,3.46,4.13
1,N,3.38,2.5,4.13,4.38
2,K,3.5,2.63,3.88,4.75
2,L,3.63,3.75,3.5,3.88
2,M,3,2.75,3.75,4.25
3,N,2.5,2.25,3.25,4.38
3,K,3.88,3.75,4,4.5
3,L,2.75,2.5,3.5,4.5
4,M,2.63,3.13,4.38,5
4,N,3.13,3.25,4.25,4.75
4,K,3.5,3.38,4.38,4.75
5,L,2.75,1.88,3.75,4.13
5,M,3.88,3,4.63,4.5
5,N,3.75,3.38,3.88,4.5
6,K,2.33,2.58,4.08,4.75
6,L,3.08,2.42,4.33,5
6,M,3.17,2.58,4.25,4.83
6,N,3.72,3.75,4.5,4.83
7,K,3.33,3,4.58,4.75
7,L,4.17,3.67,3.67,3.25
7,M,2.42,2,4.25,4.67
7,N,3.33,2.42,4.08,4.33
8,K,2.88,2.88,4.63,5
8,L,3.75,3.75,4.88,4.63
8,M,3.38,3.5,4.88,4.88
9,N,2.08,2.33,2.92,4.33
9,K,3.92,3.67,3.25,4.17
9,L,3.25,3.08,3,3.92
9,M,3.17,3,3.17,4.58
10,N,3.33,3.42,3.64,4.58
10,K,3.17,3,3.81,4.5
10,L,3.58,3.5,3.92,4.25
10,M,2.42,1.5,3.81,4.61
11,N,3.75,3.58,4,3.58
11,K,3.67,3.42,3.08,3.83
11,L,2.75,2,2.67,4.17
11,M,4.5,4.25,3.42,2.58
12,N,3.42,2.42,3.33,3.17
12,K,3.58,3.83,3.75,2.17
12,L,3.42,2.33,4,4.58
12,M,3.5,3.25,4,3.17
13,N,3.25,2.5,4.25,4.75
13,K,2.5,1.63,3.63,4.38
13,L,3.75,3.38,4,4.13
14,M,3.33,2.67,4.08,4.33
14,N,2.67,1.83,4,4.58
14,K,3.5,3,3.92,4.25
14,L,3.42,2.92,4.5,4.5
15,M,3.5,2.88,3.88,4.88
15,N,3.75,3.38,4.13,4.75
15,K,3.63,3.13,4.13,4.88
16,L,3.58,3.17,3.25,4
16,M,3.5,2.75,3.75,4.42
16,N,1.83,2,3,4.17
16,K,3.75,4.08,3.58,3.92
17,L,2.75,2.5,3.5,4.88
17,M,3.13,2.75,4.38,4.75
17,N,3.63,3.13,4.5,4.75
18,K,3.42,2.75,4.25,4.67
18,L,2.08,2,4,4.75
