		IndividualRanking													GroupRanking												
Group	Letteringroup	TOP1	TOP2	TOP3	TOP4	TOP5	TOP6	TOP7	TOP8	TOP9	TOP10	TOP11	TOP12	IndividualTaskperf	TOP1	TOP2	TOP3	TOP4	TOP5	TOP6	TOP7	TOP8	TOP9	TOP10	TOP11	TOP12	Grouptaskperformance
1	K	5	1	9	10	8	4	12	2	6	11	7	3	40	11	5	4	8	9	2	10	6	12	1	7	3	36
1	L	11	5	4	8	9	2	10	6	12	3	7	1	50	11	5	4	8	9	2	10	6	12	1	7	3	36
1	M	1	8	4	5	2	11	7	3	12	10	6	9	44	11	5	4	8	9	2	10	6	12	1	7	3	36
1	N	3	5	9	1	8	7	6	4	12	11	10	2	36	11	5	4	8	9	2	10	6	12	1	7	3	36
2	K	3	7	2	5	12	9	6	10	11	8	1	4	60	9	7	3	12	5	2	10	11	6	8	4	1	54
2	L	9	7	3	8	11	12	6	4	5	2	1	10	58	9	7	3	12	5	2	10	11	6	8	4	1	54
2	M	5	2	3	7	10	4	12	1	9	6	11	8	44	9	7	3	12	5	2	10	11	6	8	4	1	54
3	K	7	3	9	11	12	10	4	8	6	1	5	2	56	8	12	10	5	6	2	9	4	11	7	3	1	38
3	L	8	2	10	12	5	6	9	4	7	3	11	1	42	8	12	10	5	6	2	9	4	11	7	3	1	38
3	M	8	7	3	12	5	2	4	11	6	10	1	9	58	8	12	10	5	6	2	9	4	11	7	3	1	38
4	K	3	9	4	1	7	6	11	12	10	8	5	2	54	9	3	4	7	8	10	6	1	12	11	2	5	48
4	L	9	7	3	4	12	11	8	10	1	6	2	5	56	9	3	4	7	8	10	6	1	12	11	2	5	48
4	M	9	4	2	8	12	10	3	7	11	6	1	5	46	9	3	4	7	8	10	6	1	12	11	2	5	48
5	K	3	7	4	8	9	11	12	6	5	2	1	10	58	9	10	8	5	1	2	4	12	11	3	7	6	22
5	L	5	4	2	10	9	12	8	6	3	7	11	1	30	9	10	8	5	1	2	4	12	11	3	7	6	22
5	M	3	7	8	9	4	11	2	5	12	10	1	6	56	9	10	8	5	1	2	4	12	11	3	7	6	22
6	K	9	3	5	8	4	7	6	2	11	12	10	1	44	9	3	5	8	6	12	2	10	7	11	4	1	42
6	L	9	6	3	7	8	10	12	1	11	4	2	5	52	9	3	5	8	6	12	2	10	7	11	4	1	42
6	M	7	4	1	11	6	12	10	3	8	5	9	2	58	9	3	5	8	6	12	2	10	7	11	4	1	42
6	N	8	5	2	6	12	10	4	3	9	11	7	1	40	9	3	5	8	6	12	2	10	7	11	4	1	42
7	K	7	3	4	5	8	6	10	9	12	11	2	1	52	7	3	5	11	4	10	8	9	12	6	2	1	54
7	L	7	3	10	11	5	6	2	12	8	9	4	1	62	7	3	5	11	4	10	8	9	12	6	2	1	54
7	M	3	7	12	11	8	4	9	10	5	2	1	6	60	7	3	5	11	4	10	8	9	12	6	2	1	54
7	N	7	10	4	3	9	6	1	8	11	12	2	5	54	7	3	5	11	4	10	8	9	12	6	2	1	54
8	K	7	3	12	4	8	10	9	6	2	11	5	1	54	9	8	3	10	4	5	2	11	12	7	6	1	38
8	L	8	9	3	10	1	7	4	2	5	6	11	12	38	9	8	3	10	4	5	2	11	12	7	6	1	38
8	M	9	7	3	5	4	2	11	8	10	12	1	6	52	9	8	3	10	4	5	2	11	12	7	6	1	38
9	K	12	7	3	5	6	8	10	1	2	11	4	9	56	12	7	3	10	8	6	11	2	5	9	4	1	60
9	L	7	3	8	4	6	11	12	10	9	1	5	2	64	12	7	3	10	8	6	11	2	5	9	4	1	60
9	M	12	11	10	6	8	9	4	1	7	3	5	2	48	12	7	3	10	8	6	11	2	5	9	4	1	60
9	N	12	10	9	2	1	8	5	4	6	3	7	11	28	12	7	3	10	8	6	11	2	5	9	4	1	60
10	K	8	2	9	1	11	12	10	3	7	4	6	5	44	8	9	12	10	4	11	6	7	3	2	5	1	44
10	L	8	12	10	7	3	9	4	6	11	2	1	5	52	8	9	12	10	4	11	6	7	3	2	5	1	44
10	M	4	12	9	8	3	10	11	2	7	1	5	6	46	8	9	12	10	4	11	6	7	3	2	5	1	44
10	N	3	7	4	8	2	12	11	10	5	6	9	1	62	8	9	12	10	4	11	6	7	3	2	5	1	44
11	K	5	9	10	7	8	3	4	12	11	6	1	2	32	5	7	3	9	12	8	4	10	11	2	6	1	42
11	L	3	7	8	9	12	1	10	4	2	5	11	6	48	5	7	3	9	12	8	4	10	11	2	6	1	42
11	M	7	3	12	5	6	11	8	4	10	9	1	2	64	5	7	3	9	12	8	4	10	11	2	6	1	42
11	N	9	4	3	1	10	8	5	6	7	12	11	2	36	5	7	3	9	12	8	4	10	11	2	6	1	42
12	K	8	7	3	9	10	12	4	6	11	2	1	5	50	9	8	12	7	3	5	2	11	4	10	6	1	52
12	L	9	7	5	2	4	8	3	1	12	10	11	6	42	9	8	12	7	3	5	2	11	4	10	6	1	52
12	M	12	9	4	7	3	6	11	5	10	1	2	8	60	9	8	12	7	3	5	2	11	4	10	6	1	52
12	N	3	4	7	8	5	9	12	2	10	1	11	6	48	9	8	12	7	3	5	2	11	4	10	6	1	52
13	K	3	12	11	8	10	4	1	7	9	6	2	5	54	10	9	8	12	1	4	11	5	2	7	3	6	28
13	L	8	9	10	3	7	2	11	12	4	6	1	5	50	10	9	8	12	1	4	11	5	2	7	3	6	28
13	M	9	3	4	7	12	6	8	11	1	2	10	5	58	10	9	8	12	1	4	11	5	2	7	3	6	28
14	K	6	3	4	11	12	10	8	9	5	7	2	1	60	6	5	11	10	8	4	3	9	1	7	12	2	42
14	L	3	7	4	12	11	8	5	1	9	10	6	2	62	6	5	11	10	8	4	3	9	1	7	12	2	42
14	M	6	10	9	3	8	7	4	12	11	1	5	2	48	6	5	11	10	8	4	3	9	1	7	12	2	42
14	N	7	11	9	10	5	3	8	4	12	1	6	2	48	6	5	11	10	8	4	3	9	1	7	12	2	42
